symptom_text,ping_gateway,has_ip,ping_ip,ping_domain,ip_conflict,arp_table_ok,subnet_matches_gw,dns_response_time_ms,packet_loss_pct,traceroute_hops,network_type,os_type,diagnosis,severity,solutions,timestamp,dataset_version
alternate DNS like 8.8.8.8 works but default does not,1,1,1,0,0,1,1,11708,7,19,WiFi,Windows,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-01-03 07:00:00,3.0
physical network interface card faulty,0,0,0,0,0,0,0,23,100,0,WiFi,Windows,Network Adapter Issue,High,Open Device Manager — check for yellow ! on network adapter | Right-click adapter → Enable if disabled | Check physical cable connection — try a different cable | Update driver: Device Manager → Update driver | Uninstall adapter in Device Manager then reboot to reinstall | Try a different USB or PCIe NIC to isolate hardware failure | Run Windows Network Diagnostics or Linux ethtool -t eth0 | Replace NIC if driver reinstall does not resolve it,2024-01-03 08:00:00,3.0
host bits set in subnet mask incorrectly,1,1,0,0,0,1,0,1230,96,0,WiFi,Linux,Subnet Mismatch,Medium,"Check device IP and mask: ipconfig /all or ip addr | Identify gateway IP and its subnet | Verify device subnet contains the gateway IP (use subnet calculator) | Example correct config: device 192.168.1.50/24, gateway 192.168.1.1 | Set correct subnet mask: 255.255.255.0 for /24 networks | If using static IP, reconfigure with matching subnet | Check DHCP server subnet option — it may be misconfigured | Restart network after fixing subnet to apply changes",2024-01-03 09:00:00,3.0
network adapter is disabled in device manager,0,0,0,0,0,0,0,15,100,0,Ethernet,macOS,Network Adapter Issue,High,Open Device Manager — check for yellow ! on network adapter | Right-click adapter → Enable if disabled | Check physical cable connection — try a different cable | Update driver: Device Manager → Update driver | Uninstall adapter in Device Manager then reboot to reinstall | Try a different USB or PCIe NIC to isolate hardware failure | Run Windows Network Diagnostics or Linux ethtool -t eth0 | Replace NIC if driver reinstall does not resolve it,2024-01-03 10:00:00,3.0
very slow dns resolution taking many seconds,1,1,1,0,0,1,1,21675,7,9,WiFi,Windows,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-01-03 11:00:00,3.0
ping works but browser hangs on dns step,1,1,1,0,0,1,1,21439,7,9,WiFi,Windows,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-01-03 12:00:00,3.0
dns lookup failure for every domain,1,1,1,1,0,1,1,73,0,18,Ethernet,Windows,DNS Issue,Low,"Change DNS to Google (8.8.8.8, 8.8.4.4) or Cloudflare (1.1.1.1) | Flush DNS cache — Windows: ipconfig /flushdns | Flush DNS cache — macOS: sudo dscacheutil -flushcache | Test with nslookup google.com to confirm DNS failure | Restart network adapter to clear DNS state | Check router DNS settings in admin panel | Try alternate DNS: Quad9 (9.9.9.9) or OpenDNS (208.67.222.222) | Disable DNS-over-HTTPS temporarily to test",2024-01-03 13:00:00,3.0
cannot open any websites in browser,1,1,1,0,0,1,1,264,0,16,WiFi,macOS,DNS Issue,Low,"Change DNS to Google (8.8.8.8, 8.8.4.4) or Cloudflare (1.1.1.1) | Flush DNS cache — Windows: ipconfig /flushdns | Flush DNS cache — macOS: sudo dscacheutil -flushcache | Test with nslookup google.com to confirm DNS failure | Restart network adapter to clear DNS state | Check router DNS settings in admin panel | Try alternate DNS: Quad9 (9.9.9.9) or OpenDNS (208.67.222.222) | Disable DNS-over-HTTPS temporarily to test",2024-01-03 14:00:00,3.0
router is offline or unresponsive,0,1,0,0,0,1,1,1156,100,2,Ethernet,macOS,Router Issue,Medium,Check if router is powered on — verify all indicator lights | Power cycle: unplug router for 30s then reconnect | Check WAN/Internet cable between router and modem | Verify ISP service is active — call ISP or check status page | Check router WAN IP in admin panel (usually 192.168.1.1) | Update router firmware from manufacturer website | Review router logs for PPPoE or DHCP errors from ISP | Factory reset router if all else fails,2024-01-03 15:00:00,3.0
cannot open any websites in browser,1,1,1,0,0,1,1,287,2,17,Ethernet,Windows,DNS Issue,Low,"Change DNS to Google (8.8.8.8, 8.8.4.4) or Cloudflare (1.1.1.1) | Flush DNS cache — Windows: ipconfig /flushdns | Flush DNS cache — macOS: sudo dscacheutil -flushcache | Test with nslookup google.com to confirm DNS failure | Restart network adapter to clear DNS state | Check router DNS settings in admin panel | Try alternate DNS: Quad9 (9.9.9.9) or OpenDNS (208.67.222.222) | Disable DNS-over-HTTPS temporarily to test",2024-01-03 16:00:00,3.0
network hardware failure suspected,0,0,0,0,0,0,0,77,100,0,WiFi,macOS,Network Adapter Issue,High,Open Device Manager — check for yellow ! on network adapter | Right-click adapter → Enable if disabled | Check physical cable connection — try a different cable | Update driver: Device Manager → Update driver | Uninstall adapter in Device Manager then reboot to reinstall | Try a different USB or PCIe NIC to isolate hardware failure | Run Windows Network Diagnostics or Linux ethtool -t eth0 | Replace NIC if driver reinstall does not resolve it,2024-01-03 17:00:00,3.0
router is offline or unresponsive,0,1,0,0,0,1,1,3491,94,2,Ethernet,Linux,Router Issue,Medium,Check if router is powered on — verify all indicator lights | Power cycle: unplug router for 30s then reconnect | Check WAN/Internet cable between router and modem | Verify ISP service is active — call ISP or check status page | Check router WAN IP in admin panel (usually 192.168.1.1) | Update router firmware from manufacturer website | Review router logs for PPPoE or DHCP errors from ISP | Factory reset router if all else fails,2024-01-03 18:00:00,3.0
intermittent dns timeouts throughout the day,1,1,1,0,0,1,1,20375,8,19,WiFi,Windows,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-01-03 19:00:00,3.0
ip collision detected on LAN segment,0,1,0,0,1,0,1,1223,36,1,WiFi,Linux,IP Conflict,High,"Identify conflicting device: arp -a | look for duplicate MACs | Release IP: ipconfig /release (Windows) or sudo dhclient -r | Renew IP: ipconfig /renew or sudo dhclient | If using static IP, move it outside DHCP pool range | Set DHCP reservations in router to prevent future conflicts | Check DHCP pool size — expand if needed | Restart router to clear stale DHCP lease table | Reserve MAC-to-IP bindings for all static devices in router",2024-01-03 20:00:00,3.0
two devices sharing the same ip address,0,1,0,0,1,0,1,1531,26,3,Ethernet,Linux,IP Conflict,High,"Identify conflicting device: arp -a | look for duplicate MACs | Release IP: ipconfig /release (Windows) or sudo dhclient -r | Renew IP: ipconfig /renew or sudo dhclient | If using static IP, move it outside DHCP pool range | Set DHCP reservations in router to prevent future conflicts | Check DHCP pool size — expand if needed | Restart router to clear stale DHCP lease table | Reserve MAC-to-IP bindings for all static devices in router",2024-01-03 21:00:00,3.0
intermittent dns timeouts throughout the day,1,1,1,0,0,1,1,8258,1,18,Ethernet,macOS,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-01-03 22:00:00,3.0
router is offline or unresponsive,1,1,0,0,0,1,1,3991,80,2,WiFi,Windows,Router Issue,Medium,Check if router is powered on — verify all indicator lights | Power cycle: unplug router for 30s then reconnect | Check WAN/Internet cable between router and modem | Verify ISP service is active — call ISP or check status page | Check router WAN IP in admin panel (usually 192.168.1.1) | Update router firmware from manufacturer website | Review router logs for PPPoE or DHCP errors from ISP | Factory reset router if all else fails,2024-01-03 23:00:00,3.0
incorrect subnet configuration for this network,0,1,0,0,0,1,0,1726,96,1,WiFi,macOS,Subnet Mismatch,Medium,"Check device IP and mask: ipconfig /all or ip addr | Identify gateway IP and its subnet | Verify device subnet contains the gateway IP (use subnet calculator) | Example correct config: device 192.168.1.50/24, gateway 192.168.1.1 | Set correct subnet mask: 255.255.255.0 for /24 networks | If using static IP, reconfigure with matching subnet | Check DHCP server subnet option — it may be misconfigured | Restart network after fixing subnet to apply changes",2024-01-04 00:00:00,3.0
WAN port on router showing no link,0,1,0,0,0,1,1,4275,76,2,Ethernet,Windows,Router Issue,Medium,Check if router is powered on — verify all indicator lights | Power cycle: unplug router for 30s then reconnect | Check WAN/Internet cable between router and modem | Verify ISP service is active — call ISP or check status page | Check router WAN IP in admin panel (usually 192.168.1.1) | Update router firmware from manufacturer website | Review router logs for PPPoE or DHCP errors from ISP | Factory reset router if all else fails,2024-01-04 01:00:00,3.0
internet keeps dropping every few minutes,0,1,0,0,0,1,1,1467,97,1,Ethernet,macOS,Router Issue,Medium,Check if router is powered on — verify all indicator lights | Power cycle: unplug router for 30s then reconnect | Check WAN/Internet cable between router and modem | Verify ISP service is active — call ISP or check status page | Check router WAN IP in admin panel (usually 192.168.1.1) | Update router firmware from manufacturer website | Review router logs for PPPoE or DHCP errors from ISP | Factory reset router if all else fails,2024-01-04 02:00:00,3.0
very slow dns resolution taking many seconds,1,1,1,0,0,1,1,9529,8,12,WiFi,Linux,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-01-04 03:00:00,3.0
flushing DNS cache resolves temporarily,1,1,1,0,0,1,1,274,5,14,WiFi,macOS,DNS Issue,Low,"Change DNS to Google (8.8.8.8, 8.8.4.4) or Cloudflare (1.1.1.1) | Flush DNS cache — Windows: ipconfig /flushdns | Flush DNS cache — macOS: sudo dscacheutil -flushcache | Test with nslookup google.com to confirm DNS failure | Restart network adapter to clear DNS state | Check router DNS settings in admin panel | Try alternate DNS: Quad9 (9.9.9.9) or OpenDNS (208.67.222.222) | Disable DNS-over-HTTPS temporarily to test",2024-01-04 04:00:00,3.0
internet keeps dropping every few minutes,0,1,0,0,0,1,1,1876,65,2,Ethernet,Linux,Router Issue,Medium,Check if router is powered on — verify all indicator lights | Power cycle: unplug router for 30s then reconnect | Check WAN/Internet cable between router and modem | Verify ISP service is active — call ISP or check status page | Check router WAN IP in admin panel (usually 192.168.1.1) | Update router firmware from manufacturer website | Review router logs for PPPoE or DHCP errors from ISP | Factory reset router if all else fails,2024-01-04 05:00:00,3.0
wifi not working adapter unresponsive,0,0,0,0,0,0,0,55,100,0,Ethernet,macOS,Network Adapter Issue,High,Open Device Manager — check for yellow ! on network adapter | Right-click adapter → Enable if disabled | Check physical cable connection — try a different cable | Update driver: Device Manager → Update driver | Uninstall adapter in Device Manager then reboot to reinstall | Try a different USB or PCIe NIC to isolate hardware failure | Run Windows Network Diagnostics or Linux ethtool -t eth0 | Replace NIC if driver reinstall does not resolve it,2024-01-04 06:00:00,3.0
gateway mac address missing from arp cache,0,1,0,0,0,1,1,2202,98,1,Ethernet,Linux,Gateway Unreachable,Medium,Verify gateway IP: route print (Windows) or ip route show (Linux) | Ping gateway: ping <gateway_ip> — confirm it is unreachable | Re-enter correct default gateway in network settings | Check if gateway device is powered on and its port is active | Restart your network adapter | Check routing table for stale or conflicting routes | Reset TCP/IP stack: netsh int ip reset (Windows) | Verify no firewall rule is blocking ICMP to gateway,2024-01-04 07:00:00,3.0
